listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score
860531,서울특별시 강남구 논현동,37.5072440303,127.0245247227,기타,월세,0,0,32000000,2300000,300000,79.34,4.0,T,3120187,11680521,3200.0,230.0,24.0,589152.0,788268.0,560948.125,0,1,1,0,507.45980924201723,120.34330394921884,13,0,0.3999999999999999,0,5,5,32,2600000,0.4837983655717646,52123509.09090909,1.0,9.728317659352143,15.0,24.728317659352143,0.7224795062140413,78.91428062540524
846484,서울특별시 강남구 역삼동,37.5041216040012,127.03100986052,기타,월세,0,0,500000000,41000000,0,737.19,1.0,T,3110956,11680640,50000.0,4100.0,223.0,71272.75,67426.25,71515.375,0,0,0,0,469.7812615897553,234.92366798869753,3,0,1.0,0,1,0,22,41000000,6.244665905122044,686978190.9090909,0.17467803430732173,6.493238567140695,2.620170514609826,9.113409081750522,0.48372646667279723,45.39289408221032
874968,서울특별시 강남구 신사동,37.5207649868,127.030185195,사무실,월세,0,0,70000000,5500000,2230000,191.2,6.0,T,3120190,11680545,7000.0,550.0,57.8,265091.5,267129.0,233949.25,0,2,0,0,646.8607512235174,39.72117829389124,12,0,0.0,0,3,3,20,7730000,1.185842647381109,118495272.72727272,1.0,9.334076902678659,15.0,24.33407690267866,0.49480890678066874,61.44474491122882
874104,서울특별시 강남구 논현동,37.5097971936607,127.033080774592,요가/마사지,월세,0,120000000,10000000,7000000,600000,215.89,3.0,T,3120194,11680531,1000.0,700.0,65.3,319506.5,309264.5,303520.875,1,2,0,0,282.08267259063797,85.86102908529294,8,0,0.6,0,0,4,22,7600000,1.5251360623178314,184757554.54545456,0.6494998285468065,9.143542920556843,9.742497428202098,18.88604034875894,0.7121849838761789,72.29991413947235
868805,서울특별시 강남구 논현동,37.513561322877,127.039787601144,기타,월세,0,80000000,120000000,11000000,0,276.44,1.0,T,3110970,11680531,12000.0,1100.0,83.6,50728.5,55023.25,53805.3125,0,0,1,0,424.54302882992755,258.5442293014036,4,1,1.0,0,0,0,12,11000000,2.2074337744073875,270115236.3636364,0.4442548358821669,8.760391069227012,6.663822538232504,15.424213607459516,0.5512067208943926,56.76471767453896
729917,서울특별시 강남구 논현동,37.5144988093846,127.025042884901,기타,월세,0,0,200000000,12000000,800000,333.35,-1.0,T,3110950,11680521,20000.0,1200.0,100.8,30279.75,30063.25,30004.625,0,2,0,0,470.57990487950684,325.4635149881907,4,0,0.6,0,0,0,13,12800000,2.381776568968687,284549681.8181818,0.42171897446252,8.662486938349009,6.3257846169378,14.988271555286808,0.33336015154168147,39.99028292091292
873244,서울특별시 강남구 논현동,37.5098109721,127.0352840547,양식/레스토랑,월세,0,50000000,50000000,2700000,100000,59.5,1.0,T,3110961,11680531,5000.0,270.0,18.0,187742.25,204765.25,252216.625,1,1,0,0,277.1584440258453,158.30341276127257,12,1,1.0,0,1,5,16,2800000,0.5618922334855169,115091363.63636364,1.0,9.684463181257785,15.0,24.684463181257783,0.7680226300035898,82.28616043152702
872817,서울특별시 강남구 논현동,37.517623341,127.0257362002,카페/커피,월세,0,5000000,35000000,2070000,400000,62.81,3.0,T,3120190,11680521,3500.0,207.0,19.0,265091.5,267129.0,233949.25,0,2,0,0,498.2037482138536,106.2892583705264,7,1,0.6,0,1,2,14,2470000,0.4596084472931764,55930900.0,1.0,9.741901776384536,15.0,24.741901776384537,0.7363782779832941,79.9702726251316
865788,서울특별시 강남구 논현동,37.5075711139303,127.02692098833,기타소매,월세,0,0,50000000,2800000,350000,33.06,1.0,T,3120187,11680521,5000.0,280.0,10.0,589152.0,788268.0,560948.125,0,0,1,0,616.9108572991148,281.33907343224837,3,1,1.0,0,1,2,25,3150000,0.5861403275196378,58385218.18181818,1.0,9.670846394984325,15.0,24.670846394984324,0.8717663005512367,90.05331893632707
865664,서울특별시 강남구 논현동,37.5101950608882,127.027525232739,미용/네일/피부관리,월세,0,20000000,30000000,1550000,100000,29.75,1.0,T,3120191,11680521,3000.0,155.0,9.0,378147.0,391751.0,381067.3125,0,0,1,0,532.8025469590594,404.3853977067361,1,0,1.0,0,0,2,19,1650000,0.30702588584361984,57545681.81818182,1.0,9.827586206896552,15.0,24.82758620689655,0.70402859809405,77.6297310639503
868233,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,기타,월세,0,0,50000000,2700000,200000,106.39,-1.0,T,3120186,11680510,5000.0,270.0,32.2,373769.5,469697.75,332457.375,0,2,0,0,453.1814050889295,126.31057025082163,4,0,0.6,0,1,2,27,2900000,0.5128966990675892,76984372.72727273,1.0,9.711977167288357,15.0,24.711977167288357,0.7697502605970081,82.44324671206397
