bus_stop_id,bus_stop_nm,lng,lat,type
1833,북촌한옥마을입구.정세권활동터,126.9851687446,37.5812807738,버스정류장
1835,하림각,126.9629663842,37.5976847268,버스정류장
1836,보현빌라,126.9784205906,37.6153822583,버스정류장
1837,스위스대사관,126.9656960774,37.5701413179,버스정류장
1839,안국선원.삼거리,126.9852205387,37.5827432497,버스정류장
1840,세검정교회,126.9600291533,37.5993880238,버스정류장
1841,혜화동로터리,127.0010032298,37.5859196111,버스정류장
1842,김종영미술관,126.9781122953,37.6132637884,버스정류장
1843,서울시교육청,126.9666998924,37.569381682,버스정류장
1844,창신쌍용1단지.종로센트레빌아파트,127.0155692785,37.5803228198,버스정류장
1845,사우디대사관.북촌힐스,126.9852486243,37.583863308,버스정류장
1846,상명대입구,126.9574023475,37.5998544708,버스정류장
1847,혜화초등학교,126.9999909413,37.5873892922,버스정류장
1849,강북삼성병원,126.9683376852,37.5685315243,버스정류장
1850,청룡사.보문파크뷰자이아파트,127.0171508787,37.5797846496,버스정류장
1851,감사원,126.9855618026,37.5862656518,버스정류장
1852,국민생활관,126.9993137839,37.5896275957,버스정류장
1855,종로센트레빌후문.e편한세상보문아파트,127.0162353711,37.5818978359,버스정류장
1856,통일부,126.9861073451,37.5875308468,버스정류장
1858,서울국제고등학교,126.9971407875,37.5890742944,버스정류장
1860,성대후문.와룡공원,126.989734001,37.5891522774,버스정류장
1861,상명초등학교,126.9568173576,37.600904926,버스정류장
1862,새마을금고,126.9965690016,37.5878406881,버스정류장
1863,경진빌라,126.9579482257,37.6018640911,버스정류장
1864,명륜시장.성대후문,126.9952305162,37.5887246101,버스정류장
1865,완성빌라,126.9576665157,37.6033399708,버스정류장
1866,양현관,126.9937685575,37.5897680031,버스정류장
1868,상명대후문,126.9574633677,37.6040715802,버스정류장
1869,샘미용실.종로구청소년상담복지센터,126.9934084203,37.5902545716,버스정류장
1870,산정빌라,126.9575782035,37.6052835831,버스정류장
1872,구기빌라,126.9579809335,37.6061334517,버스정류장
1873,마트앞,126.958756466,37.6066987064,버스정류장
1874,국민은행.세검정지점,126.9608727063,37.6049541749,버스정류장
1876,혜화역4번출구,127.0015538872,37.5835080381,버스정류장
1877,방송통신대앞,127.0019926794,37.5786973612,버스정류장
1878,서울대치과대학,126.997800962,37.5774082997,버스정류장
1879,효제초교.연동교회.김마리아활동터,127.0022087811,37.5736413355,버스정류장
1881,성균관대학교,126.9900035953,37.5884638684,버스정류장
1883,서울대치과대학,126.9978632209,37.5775727323,버스정류장
1886,이화사거리,127.0020084833,37.5769483437,버스정류장
1887,서울대학교병원현관.암병원현관,126.9981631637,37.5790872846,버스정류장
1888,종각.공평유적전시관,126.9832427053,37.5715937879,버스정류장
1889,조계사,126.9831364101,37.5736021088,버스정류장
1901,동대문역JW메리어트동대문호텔,127.0092820998,37.5706369793,버스정류장
1902,대학로,127.0021204164,37.58189612,버스정류장
1903,창경궁,126.9964163097,37.5791596347,버스정류장
1904,창덕궁,126.9901776043,37.5775301708,버스정류장
1905,인사동.북촌,126.9837977873,37.5758950223,버스정류장
1906,경복궁.국립민속박물관,126.9795487018,37.579339181,버스정류장
1907,세종문화회관,126.9769120216,37.5731388499,버스정류장
1910,통인시장,126.9713315727,37.5791187605,버스정류장
1911,세종문화회관,126.9770139456,37.5731558567,버스정류장
1912,종각역,126.9828944171,37.5693799579,버스정류장
1913,인사동.탑골공원,126.9888006413,37.5701155367,버스정류장
1914,종묘.세운상가,126.9934997231,37.5703736241,버스정류장
1915,광장시장,126.9996789008,37.5707521431,버스정류장
1916,동묘.숭인동도깨비시장,127.0180439092,37.5734766013,버스정류장
1917,서울풍물시장,127.0231780999,37.5733400255,버스정류장
1918,청와대,126.9737600308,37.582684814,버스정류장
1919,서울역사박물관.경희궁,126.971956,37.569902,버스정류장
2001,명동성당.남대문세무서,126.9875299251,37.5649848069,버스정류장
2002,국가인권위.안중근활동터,126.9878515151,37.5643504711,버스정류장
2003,서울역버스환승센터,126.9722570849,37.5551460158,버스정류장
2004,서울역버스환승센터,126.9725924801,37.5554029828,버스정류장
2005,서울역버스환승센터,126.9727238221,37.555388989,버스정류장
2006,서울역버스환승센터,126.9728547738,37.5554794133,버스정류장
2007,서울역버스환승센터.강우규의거터,126.9729402621,37.5554141603,버스정류장
2008,숭례문,126.9737783904,37.5586388574,버스정류장
2100,서울시청,126.9806320857,37.5661382638,버스정류장
2101,만리동고개,126.9626582054,37.551787064,버스정류장
2102,손기정체육공원입구,126.9662339013,37.5544459527,버스정류장
2103,서울의료보건고등학교.서울역서부,126.9689026242,37.5558478973,버스정류장
2104,서울역서부,126.9691514463,37.556237644,버스정류장
2105,서울역서부,126.969293,37.555855,버스정류장
2106,중림동교차로,126.9691354395,37.5583836266,버스정류장
2107,중림동.충정로역2호선,126.9645407963,37.5596488763,버스정류장
2108,한국경제신문사.서소문역사공원,126.9678680149,37.5602111497,버스정류장
2109,한국경제신문사.서소문역사공원,126.9681135141,37.5606234736,버스정류장
2110,경찰청.동북아역사재단,126.9691267228,37.5630494858,버스정류장
2111,장충동써미트호텔,127.0066750078,37.5622736605,버스정류장
2113,농협은행.유관순활동터,126.9677868059,37.5649062803,버스정류장
2116,염천교,126.97311408,37.5598696316,버스정류장
2117,숭례문,126.97335794,37.5584010617,버스정류장
2118,숭례문.한국일보,126.9737375955,37.5587713091,버스정류장
2120,후암삼거리,126.9759937564,37.5534055956,버스정류장
2121,숭례문,126.974362745,37.5587633765,버스정류장
2122,숭례문,126.9740436876,37.5584195299,버스정류장
2123,숭례문.서울역4번출구,126.9736279452,37.5580006528,버스정류장
2124,숭례문.남대문시장8번출입구,126.9759976615,37.5588723988,버스정류장
2125,숭례문남산방향,126.9756720863,37.5585581643,버스정류장
2126,남대문시장.신세계앞,126.9800597585,37.561191081,버스정류장
