idx,dtlstatenm,nm,type,addr,lat,lng
331,영업중,치유본한방병원,병원,"서울특별시 관악구 신원로 35, 삼모더프라임타워 6층 (신림동)",37.4823122359729,126.929023376476
333,영업중,잎사귀치과병원,병원,"서울특별시 서대문구 명물길 32, 준성빌딩 2,3층 (창천동)",37.5580393361319,126.938445484078
334,영업중,가자연세병원,병원,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",,
335,영업중,효담요양병원,병원,서울특별시 서대문구 통일로 544 (홍은동),37.5962519748663,126.939556336062
336,영업중,사랑요양병원,병원,서울특별시 서대문구 수색로 131 (북가좌동),37.5742019282035,126.905673873275
337,영업중,의료법인디에스동서의료재단 동서한방병원,병원,서울특별시 서대문구 성산로 365-14 (연희동),37.564665578776,126.930259421463
338,영업중,의료법인동신의료재단 동신병원,병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",37.5811060838344,126.936583290985
339,영업중,연세대학교치과대학치과병원,병원,서울특별시 서대문구 연세로 50-1 (신촌동),37.563674036531,126.941917689273
340,영업중,서울호흡안심병원,병원,서울특별시 서대문구 세무서길 20 (홍제동),37.5889268732342,126.945785278564
344,영업중,마포요양병원,병원,"서울특별시 마포구 성산로4길 33, 마포요양병원 지하1~5층 (성산동)",37.5640950697612,126.908724880466
345,영업중,메디람한방병원,병원,"서울특별시 마포구 양화로 119, 디키즈코리아 B1~6층 (서교동)",37.5543612441013,126.919770087218
346,영업중,마포척한방병원,병원,"서울특별시 마포구 와우산로 48, 로하스타워 2층 (상수동)",37.5485560282385,126.923441090646
347,영업중,세솟는정형외과병원,병원,"서울특별시 마포구 백범로 26, 세솟는병원 (신수동)",37.5523913517494,126.937094594573
348,영업중,위비앙병원,병원,서울특별시 마포구 신촌로 240 (아현동),37.556950103098,126.952447901677
349,영업중,혜당한방병원,병원,"서울특별시 마포구 독막로 32, A동 지1,123457층 (합정동)",37.5479471566876,126.91681539989
350,영업중,신촌연세병원,병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",37.5525892651719,126.933734666413
351,영업중,에스엠씨요양병원,병원,"서울특별시 마포구 월드컵북로 165, 지하1층~5층 (성산동, SMC)",37.5668779371243,126.90984750519
352,영업중,한그루치과병원,병원,"서울특별시 마포구 마포대로 78, 자람빌딩 3층 (도화동)",37.5418967410602,126.949787848373
353,영업중,신촌다인치과병원,병원,"서울특별시 마포구 신촌로 94, 10층,11층 (노고산동, 그랜드플라자)",37.5549939272318,126.936001762116
