idx,dtlstatenm,addr,nm,type,lat,lng
180,영업중,"서울특별시 은평구 응암로 340, 서원빌딩 지층 (응암동)",TH용인대유도체육관,학원,37.6014709973596,126.922636551293
181,영업중,"서울특별시 은평구 역말로 20, 역촌빌딩 3층 (역촌동)",진관유도체육관 역촌도장,학원,37.60547996179,126.91258278887
182,영업중,"서울특별시 은평구 통일로 796, 상가동 132호 (불광동, 북한산 힐스테이트7차)",건민체육관,학원,37.616343199117,126.925757582129
183,영업중,"서울특별시 은평구 연서로 37, 2,3층 (역촌동)",화랑체육관,학원,37.6025595703651,126.915534870572
184,영업중,"서울특별시 은평구 연서로 37, 3층 (역촌동)",서울 은평 태권도,학원,37.6025595703651,126.915534870572
185,영업중,"서울특별시 강남구 도산대로35길 39, B1층 (신사동)",프렙 레슬링 아카데미,학원,37.5234881373776,127.030341386568
186,영업중,"서울특별시 강서구 마곡중앙6로 66, 퀸즈파크텐 319호 (마곡동)",마곡와이어주짓수,학원,37.559915259194,126.8343608462
187,영업중,"서울특별시 송파구 동남로29길 4, A동 603호 (오금동)",고일태권도,학원,37.5052089391565,127.1383471337
188,영업중,"서울특별시 구로구 신도림로 67, 3층 (신도림동)",혜성합기도 체육관,학원,37.5099241052533,126.882026503252
189,영업중,"서울특별시 송파구 위례순환로 478, 센트라포레 5층 504~507호 (장지동)",국가대표별빛태권도장,학원,37.4775608508793,127.134184877915
190,영업중,"서울특별시 강남구 영동대로138길 9, 신한양상가 301호 (청담동)",청담 주니어 태권도,학원,37.5229050350666,127.056494441884
191,영업중,"서울특별시 강남구 선릉로68길 11, 지하1층 (대치동)",복싱클루,학원,37.4992026110484,127.052734484821
192,영업중,"서울특별시 동작구 성대로6길 6, 2층, 3층 (상도동)",경희대 孝 태권도,학원,37.4990861657316,126.932816766662
193,영업중,"서울특별시 동대문구 사가정로 80, 답십리 뉴타운 카운티 에비뉴 2층 217호 (답십리동)",태아일체 바른태권도,학원,37.5752237850342,127.054926569574
194,영업중,"서울특별시 성북구 도봉로3길 13, 지하1층 (길음동)",골드로드 복싱 미아사거리점,학원,37.6103347387447,127.02938790382
195,영업중,"서울특별시 종로구 종로 19, 르메이에르종로타운1 지하2층 B213~B214호 (종로1가)",그레이시 주짓수 광화문,학원,37.5708444878121,126.979923668151
196,영업중,"서울특별시 광진구 아차산로 624, 3층 (광장동)",모노복싱,학원,37.5481766192091,127.107533426654
197,영업중,"서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 3층 A322~324호 (이문동)",용인대 하랑 태권도장,학원,37.5984702182265,127.062682937358
198,영업중,"서울특별시 송파구 백제고분로41길 10, 지하1층 (송파동)",제이앤제이복싱짐 잠실석촌점,학원,37.5071345100566,127.108376841868
199,영업중,"서울특별시 서초구 헌릉로8길 9-8, 내곡플라자 2층 203호 (내곡동)",경희대 최강 태권도,학원,37.4566898049032,127.059975815825
200,영업중,서울특별시 강동구 천호대로193길 36 (길동),예도 태권도장,학원,37.5366884387444,127.145166582635
