idx,nm,addr,type,lat,lng
239,서울명원초등학교,서울특별시 강동구 명일로 364,학교,37.5512878500966,127.15050016138
240,서울명덕초등학교,서울특별시 강동구 양재대로156길 11,학교,37.5567623333733,127.145081475071
241,서울마천초등학교,서울특별시 송파구 마천로61다길 24,학교,37.495437509372,127.152704624882
242,서울둔촌초등학교,서울특별시 강동구 양재대로88길 27,학교,37.5262199311307,127.137454081546
243,서울대명초등학교,서울특별시 강동구 상암로 271,학교,37.547707060343,127.152849551167
244,서울남천초등학교,서울특별시 송파구 성내천로 207,학교,37.5013291325477,127.151063224565
245,서울길동초등학교,서울특별시 강동구 양재대로116길 69,학교,37.5385916779149,127.144972942492
246,서울고일초등학교,서울특별시 강동구 구천면로93길 20,학교,37.5515426236302,127.169410143976
247,서울고명초등학교,서울특별시 강동구 고덕로46길 53,학교,37.5529725262612,127.147436202442
248,서울고덕초등학교,서울특별시 강동구 아리수로82길 42,학교,37.5612942209058,127.166096972163
249,서울거원초등학교,서울특별시 송파구 양산로2길 26,학교,37.4876385082093,127.144815961872
250,서울거여초등학교,서울특별시 송파구 마천로25길 18,학교,37.5050261154817,127.140946785902
251,서울개롱초등학교,서울특별시 송파구 문정로 211,학교,37.4973626123965,127.139888149341
252,서울강일초등학교,서울특별시 강동구 아리수로98길 24,학교,37.565255684305,127.177212459316
253,서울강명초등학교,서울특별시 강동구 상일로 74-1,학교,37.5547060358492,127.173374480645
254,서울강동초등학교,서울특별시 강동구 상암로14길 77,학교,37.5463638024947,127.130187177341
255,서울강덕초등학교,서울특별시 강동구 동남로82길 94-54,학교,37.5595474750238,127.160483581978
256,서울가주초등학교,서울특별시 송파구 오금로40길 37,학교,37.4965672156015,127.129280370183
257,서울가원초등학교,서울특별시 송파구 중대로4길 8,학교,37.4894427777046,127.111028747643
258,서울가락초등학교,서울특별시 송파구 송파대로37길 45,학교,37.4998746399971,127.107214872322
259,서울가동초등학교,서울특별시 송파구 중대로20길 47,학교,37.4972559260218,127.129790328684
260,솔샘중학교,서울특별시 강북구 인수봉로 39,학교,37.6237648476803,127.012068855446
261,서울대학교사범대학부설중학교,서울특별시 성북구 월곡로 36,학교,37.5958358987959,127.039066241267
262,숭곡중학교,서울특별시 성북구 종암로 208,학교,37.6085534574833,127.03124026118
263,영훈국제중학교,서울특별시 강북구 도봉로13가길 19,학교,37.6146818749027,127.02809331872
264,홍익대학교사범대학부속중학교,서울특별시 성북구 성북로14가길 23,학교,37.5936666161184,127.002804963597
265,한성여자중학교,서울특별시 성북구 삼선교로16길 118,학교,37.5819996035219,127.011312749775
266,창문여자중학교,서울특별시 강북구 월계로 61,학교,37.6134009168268,127.035828005248
267,신일중학교,서울특별시 강북구 솔매로49길 20,학교,37.627967222367,127.028403050284
268,성암여자중학교,서울특별시 강북구 도봉로29길 52,학교,37.6204135324231,127.023905892641
269,성신여자중학교,서울특별시 성북구 북악산로 918,학교,37.5946226781717,127.023128563512
