name,type,detail_type,stable,aprove_day,address,road_address,sitearea,lat,lng
심플커피,휴게음식점,커피숍,01,2020-07-10,"서울특별시 성북구 돌곶이로25길 85, 1층 (장위동)",서울특별시 성북구 돌곶이로25길 85,70.66,37.6090896817026,127.052657832951
커피베이 상월곡역점,휴게음식점,커피숍,01,2018-09-06,"서울특별시 성북구 화랑로18길 25-38, 1층 (석관동)",서울특별시 성북구 화랑로18길 25-38,44.58,37.6070991378775,127.05098846068
더벤티 고대점,휴게음식점,커피숍,01,2020-05-22,"서울특별시 성북구 고려대로24길 45, 1층 (안암동5가)",서울특별시 성북구 고려대로24길 45,33.00,37.584237389375,127.029583243575
코지코튼,휴게음식점,커피숍,01,2020-07-09,"서울특별시 성북구 북악산로29길 40, 1층 좌측 (종암동)",서울특별시 성북구 북악산로29길 40,16.50,37.5940899879777,127.034639775011
기웃기웃,휴게음식점,커피숍,01,2020-07-27,"서울특별시 성북구 아리랑로19길 13, 1층 (정릉동)",서울특별시 성북구 아리랑로19길 13,29.59,37.6024785616023,127.012688034506
몽글몽글 케이크(mongle mongle cake),휴게음식점,커피숍,01,2025-04-03,"서울특별시 관악구 봉천로23길 7, 1층 102호 (봉천동)",서울특별시 관악구 봉천로23길 7,22.00,37.4869026982928,126.935145384601
카페샘,휴게음식점,커피숍,01,2018-07-30,"서울특별시 성북구 화랑로15길 26-6, 무주공간A 1층 (상월곡동)",서울특별시 성북구 화랑로15길 26-6,57.00,37.6055632846036,127.045075349362
카페J(제이),휴게음식점,커피숍,01,2018-08-01,"서울특별시 성북구 개운사길 36, J리빙텔 지하1층 (안암동5가)",서울특별시 성북구 개운사길 36,57.00,37.5880056462629,127.029446490065
성북동 연우재,휴게음식점,커피숍,01,2018-08-07,서울특별시 성북구 성북로 15-6 (성북동1가),서울특별시 성북구 성북로 15-6,53.19,37.5894199199203,127.004436033607
법학관 카페,휴게음식점,커피숍,01,2018-08-13,"서울특별시 성북구 정릉로 77, 국민대학교 법학관 1층 (정릉동)",서울특별시 성북구 정릉로 77,13.00,37.6102919873059,126.998494142731
공학관 카페미르,휴게음식점,커피숍,01,2018-08-13,"서울특별시 성북구 정릉로 77, 국민대학교 공학관 1층 (정릉동)",서울특별시 성북구 정릉로 77,36.10,37.6102919873059,126.998494142731
커인스 컴퍼니(Cuins Company),휴게음식점,커피숍,01,2018-08-22,"서울특별시 성북구 종암로19길 99, 1,2층 (종암동)",서울특별시 성북구 종암로19길 99,92.99,37.5980111027946,127.029318170924
STUDY101(스터디101),휴게음식점,커피숍,01,2018-08-29,"서울특별시 성북구 종암로21길 128, 4층 (종암동)",서울특별시 성북구 종암로21길 128,25.08,37.6035091946959,127.030478043659
준미다방,휴게음식점,전통찻집,01,2024-01-29,"서울특별시 성북구 돌곶이로21길 23, 1층 (석관동)",서울특별시 성북구 돌곶이로21길 23,47.61,37.6092459690522,127.056811336916
바나프레소 돈암아리랑점,휴게음식점,커피숍,01,2024-01-26,"서울특별시 성북구 아리랑로 89, 상가동 1층 108호 (돈암동, 일신건영휴먼빌아파트)",서울특별시 성북구 아리랑로 89,34.20,37.6007699096006,127.013617460956
제퍼빈스,휴게음식점,다방,01,1996-06-19,서울특별시 종로구 대학로 144 (혜화동),서울특별시 종로구 대학로 144,,37.5839815923013,127.002064503637
우리,휴게음식점,다방,01,1984-08-28,,,,,
별실다방,휴게음식점,다방,01,1984-05-15,서울특별시 종로구 사직로10길 8 (필운동),서울특별시 종로구 사직로10길 8,,37.5755924964771,126.970269841979
약속,휴게음식점,다방,01,1982-04-06,"서울특별시 종로구 종로 302, 지상2층 (창신동)",서울특별시 종로구 종로 302,82.64,37.5716332944196,127.01140072111
덕수,휴게음식점,다방,01,1986-06-16,,,,,
솔,휴게음식점,다방,01,1984-10-15,서울특별시 종로구 난계로 247 (숭인동),서울특별시 종로구 난계로 247,,37.5737014635203,127.022983081009
플럼비(plumb),휴게음식점,커피숍,01,2024-01-26,"서울특별시 성북구 보문로34길 95, 1층 (동선동3가)",서울특별시 성북구 보문로34길 95,21.22,37.5914204848815,127.020576776476
슈크렘 타로카페,휴게음식점,커피숍,01,2025-04-03,"서울특별시 관악구 남부순환로 1545, 1층 102호 (신림동)",서울특별시 관악구 남부순환로 1545,20.00,37.4834858152133,126.922179929824
카페 아노츠,휴게음식점,커피숍,01,2024-03-11,"서울특별시 성북구 돌곶이로22길 33, 지상1층 (석관동)",서울특별시 성북구 돌곶이로22길 33,27.00,37.6105294970825,127.05977273164
트리도 로스터리,휴게음식점,커피숍,01,2024-03-04,서울특별시 성북구 동소문로 129-2 (동선동4가),서울특별시 성북구 동소문로 129-2,36.86,37.5945136268696,127.018732391415
빽다방 돈암아리랑점,휴게음식점,커피숍,01,2020-10-21,"서울특별시 성북구 아리랑로 75, 상가2동 지1층 108(우측)호 (돈암동, 돈암코오롱하늘채)",서울특별시 성북구 아리랑로 75,80.00,37.598830255568,127.013625487132
이런 건축사사무소,휴게음식점,커피숍,01,2020-10-14,"서울특별시 성북구 삼선교로18가길 4, 지하1층 (삼선동3가)",서울특별시 성북구 삼선교로18가길 4,19.38,37.5884867713628,127.012897726401
메가엠지씨커피 장위점,휴게음식점,커피숍,01,2020-09-04,"서울특별시 성북구 장위로 56, 1층 (장위동)",서울특별시 성북구 장위로 56,57.83,37.6138542297912,127.042784423228
#아리(Ari),휴게음식점,커피숍,01,2021-06-21,"서울특별시 성북구 보문로 189, 동진빌딩 1층 (삼선동4가)",서울특별시 성북구 보문로 189,19.40,37.5906175488784,127.014284327263
퍼피(Perfee),휴게음식점,커피숍,01,2025-05-12,"서울특별시 마포구 양화로6길 99-5, 2층 (서교동)",서울특별시 마포구 양화로6길 99-5,58.59,37.5486160729062,126.919832940069
목영동(M.Y.D),휴게음식점,커피숍,01,2021-06-24,"서울특별시 성북구 정릉로36길 36, 1층 (정릉동)",서울특별시 성북구 정릉로36길 36,26.00,37.6024048030485,127.01676017931
아지곰(arzigom),휴게음식점,커피숍,01,2025-05-12,"서울특별시 양천구 중앙로46길 35-1, 1층 101호 (신정동)",서울특별시 양천구 중앙로46길 35-1,49.58,37.5225650794444,126.856092475352
넉넉커피,휴게음식점,커피숍,01,2021-06-08,"서울특별시 성북구 화랑로25길 28, 1층 (장위동)",서울특별시 성북구 화랑로25길 28,51.07,37.6098390043244,127.051912459112
유정원카페,휴게음식점,커피숍,01,2021-04-26,"서울특별시 성북구 보문로30라길 23, 유정원빌 1층 (동선동2가)",서울특별시 성북구 보문로30라길 23,50.88,37.5896485752963,127.01851004338
블루포트 고려대 현대자동차경영관점,휴게음식점,커피숍,01,2021-04-28,"서울특별시 성북구 안암로 145, 고려대학교 현대자동차경영관 지하1층 (안암동5가)",서울특별시 성북구 안암로 145,23.00,37.5887034223667,127.031698331241
스타벅스 장위뉴타운점,휴게음식점,커피숍,01,2021-06-22,"서울특별시 성북구 장월로38길 4, 타워39 1~2층 (장위동)",서울특별시 성북구 장월로38길 4,350.06,37.6180009406972,127.051568248121
공차 종암점,휴게음식점,커피숍,01,2023-01-09,"서울특별시 성북구 종암로 120, 비제이빌딩 1층 (종암동)",서울특별시 성북구 종암로 120,89.05,37.6010208311524,127.034438925479
메가엠지씨커피 돌곶이역점,휴게음식점,커피숍,01,2022-11-22,"서울특별시 성북구 돌곶이로 66, 1층 (석관동)",서울특별시 성북구 돌곶이로 66,52.84,37.6095865178842,127.058522204433
모리커피 서울성신여대점,휴게음식점,커피숍,01,2022-11-28,"서울특별시 성북구 동소문로22길 48, 1층 (동선동1가)",서울특별시 성북구 동소문로22길 48,53.82,37.5909751457606,127.018256403455
메가엠지씨커피 종암점,휴게음식점,커피숍,01,2022-11-23,"서울특별시 성북구 종암로 98, 1,2,3층 (종암동)",서울특별시 성북구 종암로 98,96.30,37.5989882027039,127.03472335154
컴포즈커피 정릉입구점,휴게음식점,커피숍,01,2022-12-12,"서울특별시 성북구 보국문로 11, 1층 (정릉동)",서울특별시 성북구 보국문로 11,66.85,37.605623351645,127.011163666364
이와이미디어,휴게음식점,커피숍,01,2023-01-02,"서울특별시 성북구 아리랑로 120-10, 1층 (정릉동)",서울특별시 성북구 아리랑로 120-10,29.61,37.6026987004996,127.014041461693
올리브(olive) 동소문점,휴게음식점,커피숍,01,2021-09-02,"서울특별시 성북구 동소문로17길 13, 1층 (동소문동6가)",서울특별시 성북구 동소문로17길 13,83.88,37.5930871944179,127.014802261915
컴포즈 석관시장점,휴게음식점,커피숍,01,2021-09-03,"서울특별시 성북구 돌곶이로18길 4, 1층 (석관동)",서울특별시 성북구 돌곶이로18길 4,72.60,37.6090875545247,127.059235543785
빽다방 돈암점,휴게음식점,커피숍,01,2021-09-14,"서울특별시 성북구 동소문로 113, 태인빌딩 1층 (동선동4가)",서울특별시 성북구 동소문로 113,106.92,37.5934476796692,127.017451596208
카페케이,휴게음식점,커피숍,01,2021-02-25,"서울특별시 성북구 정릉로 77, 국민대학교 본관5동 1층 (정릉동)",서울특별시 성북구 정릉로 77,18.00,37.6102919873059,126.998494142731
빽다방 장위뉴타운점,휴게음식점,커피숍,01,2021-04-07,"서울특별시 성북구 장월로 140, 지하1층~지상1층 (장위동)",서울특별시 성북구 장월로 140,89.14,37.6175017214338,127.050694498908
여행길잡이,휴게음식점,커피숍,01,2021-02-18,"서울특별시 성북구 동소문로 248, 상가102동 지하층 33호 (길음동, 삼부아파트)",서울특별시 성북구 동소문로 248,18.48,37.6034576002933,127.024541211803
