stdr_yyqu_cd,adstrd_cd,adstrd_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,tmzon_00_06_flpop_co,tmzon_06_11_flpop_co,tmzon_11_14_flpop_co,tmzon_14_17_flpop_co,tmzon_17_21_flpop_co,tmzon_21_24_flpop_co,mon_flpop_co,tues_flpop_co,wed_flpop_co,thur_flpop_co,fri_flpop_co,sat_flpop_co,sun_flpop_co
20214,11170510,후암동,4353300.0,2076963.0,2276338.0,582136.0,585585.0,820246.0,741329.0,631574.0,992430.0,1266261.0,932660.0,483155.0,463351.0,640352.0,567520.0,624794.0,626356.0,622619.0,620878.0,617013.0,612286.0,629355.0
20214,11170520,용산2가동,5004300.0,2326842.0,2677458.0,570841.0,805706.0,1059983.0,767759.0,605436.0,1194573.0,1415698.0,1066927.0,559718.0,532849.0,768815.0,660292.0,709305.0,697129.0,705163.0,698311.0,702681.0,732640.0,759069.0
20214,11170530,남영동,2177910.0,1133881.0,1044030.0,173430.0,386578.0,413995.0,376563.0,352901.0,474443.0,478971.0,481222.0,308744.0,305096.0,364868.0,239010.0,312937.0,322761.0,322807.0,322814.0,322214.0,287411.0,286968.0
20214,11170555,청파동,7772703.0,3506609.0,4266095.0,992448.0,1695085.0,1418286.0,1138376.0,1094345.0,1434164.0,2031384.0,1653071.0,951537.0,928366.0,1229204.0,979143.0,1114990.0,1128764.0,1126569.0,1118650.0,1117360.0,1076243.0,1090127.0
20214,11170560,원효로1동,5325266.0,2650256.0,2675010.0,590504.0,858731.0,1273459.0,993858.0,745745.0,862968.0,1196503.0,1137752.0,733690.0,726211.0,904752.0,626359.0,767322.0,784427.0,788942.0,787941.0,785950.0,715860.0,694824.0
20214,11170570,원효로2동,4039471.0,1926440.0,2113030.0,682190.0,480928.0,675073.0,661029.0,617118.0,923135.0,1153893.0,885715.0,468634.0,448585.0,579438.0,503207.0,580031.0,582044.0,578052.0,576045.0,575621.0,565461.0,582219.0
20214,11170580,효창동,4131375.0,1813925.0,2317450.0,651166.0,575089.0,734627.0,662287.0,590823.0,917382.0,1067207.0,856858.0,474649.0,475177.0,695422.0,562062.0,592676.0,587074.0,593726.0,591904.0,588910.0,588030.0,589054.0
20214,11170590,용문동,2937778.0,1333815.0,1603962.0,355876.0,387224.0,542964.0,471855.0,451788.0,728071.0,830671.0,602487.0,326686.0,327925.0,468751.0,381257.0,420510.0,417969.0,415494.0,416710.0,416027.0,426976.0,424091.0
20214,11170625,한강로동,4900213.0,2536052.0,2364160.0,420864.0,920090.0,1184917.0,946126.0,679373.0,748844.0,1027384.0,1032289.0,730447.0,726646.0,854374.0,529072.0,710649.0,740216.0,744226.0,741821.0,731776.0,631711.0,599815.0
20214,11170630,이촌1동,5283338.0,2366838.0,2916500.0,1009112.0,463365.0,745981.0,1024037.0,832290.0,1208555.0,1319239.0,1107421.0,638685.0,652038.0,896898.0,669055.0,750658.0,749698.0,753258.0,750466.0,757865.0,760439.0,760953.0
