listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd
873244,서울특별시 강남구 논현동,37.5098109721,127.0352840547,양식/레스토랑,월세,0,50000000,50000000,2700000,100000,59.5,1층,T,3110961,11680531
872817,서울특별시 강남구 논현동,37.517623341,127.0257362002,카페/커피,월세,0,5000000,35000000,2070000,400000,62.81,3층,T,3120190,11680521
865788,서울특별시 강남구 논현동,37.5075711139303,127.02692098833,기타소매,월세,0,0,50000000,2800000,350000,33.06,1층,T,3120187,11680521
865664,서울특별시 강남구 논현동,37.5101950608882,127.027525232739,미용/네일/피부관리,월세,0,20000000,30000000,1550000,100000,29.75,1층,T,3120191,11680521
868233,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,기타,월세,0,0,50000000,2700000,200000,106.39,지하1층,T,3120186,11680510
866352,서울특별시 강남구 논현동,37.5155518217,127.0218172517,요가/마사지,월세,0,30000000,30000000,2280000,250000,56.2,5층,T,3120178,11680521
544605,서울특별시 강남구 논현동,37.5108322150438,127.030601948781,한식/고기집,월세,0,60000000,50000000,4000000,0,64.23,1층,T,3110955,11680521
580868,서울특별시 강남구 논현동,37.5102507364,127.0350354305,사무실,월세,0,0,30000000,2000000,300000,99.2,3층,T,3110961,11680531
800051,서울특별시 강남구 논현동,37.5057912418,127.0262388185,사무실,월세,0,0,50000000,4000000,250000,125.61,4층,T,3120187,11680521
870413,서울특별시 강남구 논현동,37.5161355747834,127.022337745833,베이커리,월세,0,90000000,40000000,3600000,300000,94.22,1층,T,3120178,11680521
870408,서울특별시 강남구 논현동,37.5194386326,127.0304878195,치킨/닭요리,월세,0,90000000,60000000,4600000,0,153.7,1층,T,3120190,11680531
870243,서울특별시 강남구 논현동,37.5170974741305,127.037925336541,카페/커피,월세,0,150000000,50000000,3000000,0,42.98,1층,T,3120203,11680531
865910,서울특별시 강남구 신사동,37.519122825,127.0247322232,기타주점,월세,0,100000000,50000000,4400000,0,198.35,지하1층,T,3120186,11680510
865673,서울특별시 강남구 논현동,37.5111689919,127.0236166309,양식/레스토랑,월세,0,35000000,55000000,3500000,700000,82.64,1층,T,3120185,11680521
622433,서울특별시 강남구 논현동,37.5085142036,127.0329354373,한식/고기집,월세,0,45000000,20000000,2000000,100000,36.4,1층,T,3120194,11680521
865472,서울특별시 강남구 논현동,37.5143970367,127.0288162452,한식/고기집,월세,0,100000000,40000000,4750000,500000,113.84,1층,T,3120191,11680521
869359,서울특별시 강남구 논현동,37.5075545742137,127.031500781712,사무실,월세,0,0,40000000,6500000,800000,198.93,1층,T,3110955,11680521
865446,서울특별시 강남구 논현동,37.5100590837,127.0229602734,한식/고기집,월세,0,100000000,80000000,4000000,300000,66.12,1층,T,3120185,11680521
855517,서울특별시 강남구 논현동,37.5192078510887,127.030967348464,기타,월세,0,17000000,10000000,1300000,100000,30.0,1층,T,3110957,11680531
796885,서울특별시 강남구 논현동,37.5118305465008,127.030529967595,기타,월세,0,0,200000000,18000000,0,333.88,5층,T,3120191,11680521
862478,서울특별시 강남구 역삼동,37.5079337330229,127.038168392484,기타,월세,0,0,50000000,3200000,300000,40.38,지하1층,T,3120199,11680640
868238,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,사무실,월세,0,0,230000000,15000000,1100000,358.51,1층,T,3120186,11680510
868236,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,사무실,월세,0,0,50000000,4000000,300000,99.25,2층,T,3120186,11680510
862924,서울특별시 강남구 역삼동,37.5079337330229,127.038168392484,기타,월세,0,200000000,10000000,3500000,300000,33.124,1층,T,3120199,11680640
867804,서울특별시 강남구 신사동,37.5186512693532,127.021840777575,기타주점,월세,0,250000000,100000000,6000000,200000,115.7,1층,T,3120186,11680510
683746,서울특별시 강남구 논현동,37.507234228587,127.026919170843,의류/멀티샵,월세,0,45000000,10000000,1850000,0,13.22,1층,T,3120187,11680521
863240,서울특별시 강남구 논현동,37.5180637903,127.0365277011,사무실,월세,0,0,30000000,2500000,500000,46.28,2층,T,3110966,11680531
862750,서울특별시 강남구 역삼동,37.5051297889,127.0337844425,요가/마사지,월세,0,35000000,40000000,4070000,0,61.72,2층,T,3120194,11680640
842840,서울특별시 강남구 역삼동,37.5038446039,127.0282602833,기타,월세,0,0,300000000,26000000,0,275.72,1층,T,3120187,11680640
862571,서울특별시 강남구 역삼동,37.507039414,127.0355089507,한식/고기집,월세,0,70000000,30000000,2600000,0,95.65,지하1층,T,3120194,11680640
862420,서울특별시 강남구 논현동,37.5102712935,127.0384647871,기타,월세,0,30000000,15000000,1000000,150000,26.45,1층,T,3110971,11680531
864892,서울특별시 강남구 논현동,37.5132544518,127.0413302533,기타,월세,0,60000000,60000000,6050000,0,99.17,4층,T,3110974,11680531
840320,서울특별시 서초구 반포동,37.5071833819437,127.02133074604,기타주점,월세,0,40000000,10000000,900000,100000,67.68,지하1층,T,3120177,11650560
854747,서울특별시 강남구 논현동,37.5075323,127.0247736392,사무실,월세,0,0,50000000,3800000,200000,166.57,1층,T,3120187,11680521
864466,서울특별시 강남구 논현동,37.5068295699,127.0245155391,기타주점,월세,0,60000000,75000000,4500000,0,99.17,2층,T,3120187,11680521
